matched_pair_id,pair_source,pair_role,claim,pure_binary_label,original_verdict,normalised_rating,financial_matches,word_count,pair_has_shared_concept,pair_shared_concept_count,pair_concept_jaccard,pair_word_difference,date_published,url,claim_id,row_id,finance_relevant,label_valid,standalone_claim,no_editorial_framing,keep,audit_notes,automatic_editorial_flag,automatic_long_claim_flag,automatic_large_pair_length_gap,automatic_no_shared_concept,row_risk_score,audit_priority
snopes_004,Snopes,genuine,"Guidelines published by the IRS ahead of the 2022 tax year explained how taxpayers can claim items they have stolen, or earnings from illegal activities.",genuine,true,True,"['tax', 'company_finance']",25,True,2,0.5,10,2021-12-30T11:25:00,https://www.snopes.com/fact-check/irs-taxpayers-stolen-items-illegal-income/,85353,88510,,,,,,,False,False,False,False,0,50
snopes_004,Snopes,misleading,Nancy Pelosi advocated implementing a 100% windfall tax on stock market profits and retirement income.,misleading,false,False,"['tax', 'income', 'markets', 'company_finance']",15,True,2,0.5,10,2006-12-01T00:00:00,https://www.snopes.com/fact-check/windfall-profits-tax/,97478,100943,,,,,,,False,False,False,False,0,50
politifact_013,PolitiFact,genuine,Says income tax rates under Eisenhower were as high as 90 percent.,genuine,true,True,"['tax', 'income']",12,True,2,1.0,9,2015-11-15T00:00:00,https://www.politifact.com/factchecks/2015/nov/15/bernie-sanders/income-tax-rates-were-90-percent-under-eisenhower-/,72212,74716,,,,,,,False,False,False,False,0,51
politifact_013,PolitiFact,misleading,"Says that after ""the last income tax increase in the state of Illinois, we saw the largest exodus of middle-income families.""",misleading,false,False,"['tax', 'income']",21,True,2,1.0,9,2019-06-23T00:00:00,https://www.politifact.com/factchecks/2019/jun/23/bill-brady/fact-checking-bradys-muddled-attack-pritzkers-tax-/,61992,64424,,,,,,,False,False,False,False,0,51
politifact_171,PolitiFact,genuine,The state budget will include scholarship money for minority students as a concession to Senate Democrats for supporting the GOP-initiated transportation bill.,genuine,true,True,['budget'],22,True,1,1.0,9,2015-05-13T00:00:00,https://www.politifact.com/factchecks/2015/may/13/senate-democrats/Democrats-parlay-votes-on-transportation-bill-into/,65427,67921,,,,,,,False,False,False,False,0,52
politifact_171,PolitiFact,misleading,"""The proposed House budget cuts hundreds of millions in funding for public education…""",misleading,false,False,['budget'],13,True,1,1.0,9,2022-04-12T00:00:00,https://www.politifact.com/factchecks/2022/apr/12/democratic-party-virginia/no-virginias-house-did-not-vote-cut-school-funding/,76573,79215,,,,,,,False,False,False,False,0,52
politifact_190,PolitiFact,genuine,"""Higher education is one of America's strongest export sectors. Over 1 million international students studied at American universities, 2018-19 school year. They contributed over $40 billion to the economy.""",genuine,true,True,"['macroeconomy', 'trade']",29,True,1,0.5,9,2020-07-10T00:00:00,https://www.politifact.com/factchecks/2020/jul/10/chris-hayes/msnbcs-chris-hayes-right-economic-impact-internati/,61211,63602,,,,,,,False,False,False,False,0,53
politifact_190,PolitiFact,misleading,"""National studies are already showing the negative effects that the health care law is having on businesses and our economy. Businesses across the country are raising their prices … cutting jobs as a result of the added cost.""",misleading,false,False,['macroeconomy'],38,True,1,0.5,9,2012-11-30T00:00:00,https://www.politifact.com/factchecks/2012/nov/30/pam-bondi/pam-bondi-said-national-studies-show-businesses-ar/,67788,70287,,,,,,,False,False,False,False,0,53
snopes_071,Snopes,genuine,The search engine Ecosia uses a portion of its profits to help plant trees.,genuine,true,True,['company_finance'],14,True,1,1.0,9,2019-08-27T14:32:48,https://www.snopes.com/fact-check/ecosia-use-profits-to-plant-trees/,89118,92407,,,,,,,False,False,False,False,0,54
snopes_071,Snopes,misleading,"Military Losses, 1980 through 2006",misleading,false,False,['company_finance'],5,True,1,1.0,9,2008-03-26T08:19:20,https://www.snopes.com/fact-check/military-losses/,97128,100591,,,,,,,False,False,False,False,0,54
