matched_pair_id,pair_source,pair_role,claim,pure_binary_label,original_verdict,normalised_rating,financial_matches,word_count,pair_has_shared_concept,pair_shared_concept_count,pair_concept_jaccard,pair_word_difference,date_published,url,claim_id,row_id,finance_relevant,label_valid,standalone_claim,no_editorial_framing,keep,audit_notes,automatic_editorial_flag,automatic_long_claim_flag,automatic_large_pair_length_gap,automatic_no_shared_concept,row_risk_score,audit_priority
politifact_156,PolitiFact,genuine,"Says Barack Obama ""promised he would cut the deficit in half"" but didn't.",genuine,true,True,['deficit'],13,True,1,1.0,3,2012-03-08T00:00:00,https://www.politifact.com/factchecks/2012/mar/08/lenny-curry/obama-promised-cut-deficit-half-end-his-first-term/,70385,72886,,,,,,,False,False,False,False,0,100
politifact_156,PolitiFact,misleading,"Says the Simpson-Bowles deficit reduction proposal went from President Barack Obama's desk to ""the garbage can.""",misleading,false,False,['deficit'],16,True,1,1.0,3,2012-01-08T00:00:00,https://www.politifact.com/factchecks/2012/jan/08/jon-huntsman/jon-huntsman-says-president-barack-obama-threw-def/,68964,71465,,,,,,,False,False,False,False,0,100
politifact_157,PolitiFact,genuine,"""It's been over 50 years since minimum and inflation parted ways, then over a decade since the federal minimum went up at all.""",genuine,true,True,['inflation'],23,True,1,1.0,3,2021-06-19T00:00:00,https://www.politifact.com/factchecks/2021/jun/19/mandela-barnes/yes-its-been-decades-minimum-wage-kept-inflation-a/,75920,78525,,,,,,,False,False,False,False,0,101
politifact_157,PolitiFact,misleading,"""The new Inflation Reduction Act has just been updated to give Americans making less than $50,000 per year up to $6,400 in subsidies every single month.""",misleading,false,False,['inflation'],26,True,1,1.0,3,2023-12-08T00:00:00,https://www.politifact.com/factchecks/2023/dec/08/facebook-posts/scam-alert-us-government-isnt-giving-out-6400-subs/,77862,80575,,,,,,,False,False,False,False,0,101
politifact_186,PolitiFact,genuine,"Says Milwaukee County spent over $170,000 in salaries in 2010 for employees to ""participate in union activities such as collective bargaining.""",genuine,true,True,['employment'],21,True,1,0.5,3,2011-05-08T00:00:00,https://www.politifact.com/factchecks/2011/may/08/scott-walker/wisconsin-gov-scott-walker-says-milwaukee-county-p/,69777,72278,,,,,,,False,False,False,False,0,102
politifact_186,PolitiFact,misleading,"Says Hillary Clinton will receive her ""congressional salary until she dies"" and the Secret Service pays her mortgage.",misleading,pants-fire,False,"['employment', 'interest_mortgage']",18,True,1,0.5,3,2015-04-06T00:00:00,https://www.politifact.com/factchecks/2015/apr/06/chain-email/chain-email-secret-service-pays-clintons-mortgage/,65499,67994,,,,,,,False,False,False,False,0,102
politifact_187,PolitiFact,genuine,"Says the Congressional Budget Office has estimated ""every penny of the federal budget will go to interest on the debt and entitlement spending by 2025.""",genuine,true,True,"['budget', 'debt']",25,True,1,0.5,3,2012-04-23T00:00:00,https://www.politifact.com/factchecks/2012/apr/23/frank-wolf/will-entitlement-programs-and-debt-consume-us-budg/,70461,72962,,,,,,,False,False,False,False,0,103
politifact_187,PolitiFact,misleading,"""The administration passed a new bill to help Americans with $15,000+ in credit card debt to write off their balance by 50%.""",misleading,false,False,['debt'],22,True,1,0.5,3,2024-04-26T00:00:00,https://www.politifact.com/factchecks/2024/apr/26/facebook-posts/debt-relief-offer-is-from-private-uk-company-not-u/,58683,60957,,,,,,,False,False,False,False,0,103
politifact_188,PolitiFact,genuine,"""It wasn't all women that lost jobs , it was mostly Black and Latina women. In fact, white women gained employment.""",genuine,true,True,['employment'],21,True,1,0.5,3,2021-01-15T00:00:00,https://www.politifact.com/factchecks/2021/jan/15/sarah-godlewski/black-and-latina-women-carried-brunt-job-loss-dece/,75564,78156,,,,,,,False,False,False,False,0,104
politifact_188,PolitiFact,misleading,"""Anything that you lose on the tariff from the perspective of the consumer, you gain in higher wages, so you're ultimately much better off.""",misleading,false,False,"['employment', 'trade']",24,True,1,0.5,3,2024-08-29T00:00:00,https://www.politifact.com/factchecks/2024/aug/29/jd-vance/most-economists-and-analyses-say-jd-vance-is-wrong/,78346,81108,,,,,,,False,False,False,False,0,104
