feature,genuine_mean,misleading_mean,absolute_mean_difference,standardised_difference,absolute_standardised_difference
starts_with_says,0.18007662835249041,0.3448275862068966,0.16475095785440616,0.3804723016682123,0.3804723016682123
exclamation_mark_count,0.0,0.022988505747126436,0.022988505747126436,0.18695797279635357,0.18695797279635357
number_token_count,0.8582375478927203,0.6896551724137931,0.16858237547892718,-0.1744483891377034,0.1744483891377034
digit_count,2.5172413793103448,2.103448275862069,0.4137931034482758,-0.13294824015522366,0.13294824015522366
question_mark_count,0.0,0.007662835249042145,0.007662835249042145,0.12403565201606297,0.12403565201606297
quote_count,1.2911877394636015,1.3793103448275863,0.08812260536398475,0.07997696362562856,0.07997696362562856
word_count,18.839080459770116,18.291187739463602,0.547892720306514,-0.07877421462319752,0.07877421462319752
comma_count,0.5210727969348659,0.5708812260536399,0.049808429118774034,0.061500829792667196,0.061500829792667196
currency_symbol_count,0.20306513409961685,0.23371647509578544,0.03065134099616859,0.06061172034037794,0.06061172034037794
char_count,113.26436781609195,111.48659003831418,1.7777777777777715,-0.04257240527566279,0.04257240527566279
percent_symbol_count,0.09195402298850575,0.09195402298850575,0.0,0.0,0.0
starts_with_no_yes,0.0,0.0,0.0,0.0,0.0
contains_factcheck_language,0.0,0.0,0.0,0.0,0.0
