matched_pair_id,pair_source,pair_role,claim,pure_binary_label,original_verdict,normalised_rating,financial_matches,word_count,pair_has_shared_concept,pair_shared_concept_count,pair_concept_jaccard,pair_word_difference,date_published,url,claim_id,row_id,finance_relevant,label_valid,standalone_claim,no_editorial_framing,keep,audit_notes,automatic_editorial_flag,automatic_long_claim_flag,automatic_large_pair_length_gap,automatic_no_shared_concept,row_risk_score,audit_priority
politifact_036,PolitiFact,genuine,"""All of our taxpayers are paying roughly 22% of the U.N. budget.""",genuine,true,True,['budget'],12,True,1,1.0,0,2017-02-01T00:00:00,https://www.politifact.com/factchecks/2017/feb/01/rob-portman/us-contribution-un-22-percent/,63830,66317,yes,yes,yes,yes,yes,,False,False,False,False,0,250
politifact_036,PolitiFact,misleading,"Says Gov. Scott Walker's proposed budget ""would sell off Wisconsin's state parks.""",misleading,false,False,['budget'],12,True,1,1.0,0,2015-03-10T00:00:00,https://www.politifact.com/factchecks/2015/mar/10/state-democratic-party-wisconsin/democratic-party-says-scott-walker-proposed-sellin/,65562,68058,yes,yes,yes,yes,yes,,False,False,False,False,0,250
politifact_037,PolitiFact,genuine,"Says Warren Buffett has publicly said his secretary ""should not be paying a higher tax rate"" than him.",genuine,true,True,['tax'],18,True,1,1.0,0,2016-10-18T00:00:00,https://www.politifact.com/factchecks/2016/oct/18/hillary-clinton/clinton-correct-buffett-claimed-pay-lower-tax-rate/,64058,66547,yes,yes,yes,yes,yes,,False,False,False,False,0,251
politifact_037,PolitiFact,misleading,"Says Democratic challenger for his N.C. House seat ""raised taxes on clothing, school supplies – even baby diapers!""",misleading,pants-fire,False,['tax'],18,True,1,1.0,0,2016-10-28T00:00:00,https://www.politifact.com/factchecks/2016/oct/28/chris-malone/nc-legislator-accuses-opponent-creating-non-existe/,64009,66498,yes,yes,yes,yes,yes,,False,False,False,False,0,251
politifact_038,PolitiFact,genuine,"Says Donald Trump's tax plan gives the wealthy and corporations ""more than the Bush tax cuts by at least a factor of two.""",genuine,true,True,['tax'],23,True,1,1.0,0,2016-10-11T00:00:00,https://www.politifact.com/factchecks/2016/oct/11/hillary-clinton/clinton-right-trump-tax-plan-gives-more-rich-bush-/,64072,66561,yes,yes,yes,yes,yes,,False,False,False,False,0,252
politifact_038,PolitiFact,misleading,"Says Hillary Clinton ""wants to raise taxes on African-American owned businesses to as much as nearly 50 percent more than they're paying now.""",misleading,false,False,['tax'],23,True,1,1.0,0,2016-08-26T00:00:00,https://www.politifact.com/factchecks/2016/aug/26/donald-trump/clinton-wants-tax-african-american-businesses-50-p/,64231,66720,yes,yes,yes,yes,yes,,False,False,False,False,0,252
politifact_039,PolitiFact,genuine,"""Richard Nixon released tax returns when he was under audit.""",genuine,true,True,['tax'],10,True,1,1.0,0,2016-10-05T00:00:00,https://www.politifact.com/factchecks/2016/oct/05/tim-kaine/tim-kaine-correctly-notes-richard-nixon-released-t/,64105,66594,yes,yes,yes,yes,yes,,False,False,False,False,0,253
politifact_039,PolitiFact,misleading,"Elissa Slotkin ""gave your hard-earned tax money to illegal immigrants.""",misleading,false,False,['tax'],10,True,1,1.0,0,2024-09-06T00:00:00,https://www.politifact.com/factchecks/2024/sep/06/national-republican-senatorial-committee/senate-republicans-ad-claiming-elissa-slotkin-gave/,58521,60775,yes,yes,yes,yes,yes,,False,False,False,False,0,253
politifact_040,PolitiFact,genuine,Says a change in law he carried stopped a $100 million tax increase in the Dallas school district.,genuine,true,True,['tax'],18,True,1,1.0,0,2016-09-23T00:00:00,https://www.politifact.com/factchecks/2016/sep/23/paul-bettencourt/paul-bettencourt-says-voting-threshold-he-champion/,64135,66624,yes,yes,yes,yes,yes,,False,False,False,False,0,254
politifact_040,PolitiFact,misleading,"Says the estate tax, ""in many cases,"" forces family farmers and small businesses owners to sell their holdings.",misleading,false,False,['tax'],18,True,1,1.0,0,2015-05-03T00:00:00,https://www.politifact.com/factchecks/2015/may/03/robert-hurt/hurt-amiss-linking-estate-tax-small-farm-businesse/,65442,67936,yes,yes,yes,yes,yes,,False,False,False,False,0,254
politifact_041,PolitiFact,genuine,"""Today California is kicking our butt, creating more jobs and more economic growth than Texas.""",genuine,true,True,['macroeconomy'],15,True,1,1.0,0,2016-08-17T00:00:00,https://www.politifact.com/factchecks/2016/aug/17/julian-castro/julian-castro-says-california-besting-texas-creati/,64236,66725,yes,yes,yes,yes,yes,,False,False,False,False,0,255
politifact_041,PolitiFact,misleading,"Says ""our economy in New Jersey gets $38 billion from the businesses at the Shore.""",misleading,false,False,['macroeconomy'],15,True,1,1.0,0,2012-12-30T00:00:00,https://www.politifact.com/factchecks/2012/dec/30/chris-christie/chris-christie-claims-shore-businesses-provide-38-/,67745,70244,yes,yes,yes,yes,yes,,False,False,False,False,0,255
politifact_042,PolitiFact,genuine,"""An amendment, pushed by Lyndon Johnson many years ago, threatens religious institutions with a loss of their tax-exempt status if they openly advocate their political views.""",genuine,true,True,['tax'],26,True,1,1.0,0,2016-07-22T00:00:00,https://www.politifact.com/factchecks/2016/jul/22/donald-trump/donald-trump-correct-lyndon-johnson-passed-legisla/,64345,66834,yes,yes,yes,yes,yes,,False,False,False,False,0,256
politifact_042,PolitiFact,misleading,"""There is no $30 million pot of money"" for redistricting issues, including defending redistricting lawsuits. ""Your tax dollars are not being spent on anything like that.""",misleading,false,False,['tax'],26,True,1,1.0,0,2011-06-28T00:00:00,https://www.politifact.com/factchecks/2011/jun/28/will-weatherford/weatherford-denies-30-million-pot-exists-redistric/,69569,72070,yes,yes,yes,yes,yes,,False,False,False,False,0,256
politifact_043,PolitiFact,genuine,"""The major immigration issue was about Poles, and Bulgarians, and Romanians,"" and that they weren't contributing economically. ""The unemployment rate among Poles in Britain is lower than the unemployment rate among Brits.""",genuine,true,True,['employment'],32,True,1,1.0,0,2016-06-26T00:00:00,https://www.politifact.com/factchecks/2016/jun/26/david-miliband/david-miliband-link-between-jobs-immigration-and-b/,64439,66928,yes,yes,yes,yes,yes,,False,False,False,False,0,257
politifact_043,PolitiFact,misleading,"""When I was campaigning, I was talking about 18 and 20 years wages effectively went down. Now, for the first time in a long time, they're starting to go up for people.""",misleading,false,False,['employment'],32,True,1,1.0,0,2018-03-09T00:00:00,https://www.politifact.com/factchecks/2018/mar/09/donald-trump/donald-trump-wrong-about-wage-trends/,63001,65477,yes,yes,yes,yes,yes,,False,False,False,False,0,257
